Nom de la ressource,Objet,Enjeux politiques,Enjeux Opérationnels,Phase,Lien vers la ressources,Type,Producteurs,Contexte Projet,Status,Date de mise à jour,Dernière modification,Wordpress ID,Wordpress status
Socle Commun des Données Locales,Données prioritaires normalisées,"Conformité,Confiance,Innovation,Gouvernance des données","Qualité,Réutilisation",Produire,https://schema.data.gouv.fr/schemas.html?q=&label=Socle%20Commun%20des%20Données%20Locales,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022 (jmb),23/5/2022 11:22am,3227,publish
Dataclic,Extracteur de données depuis des bases nationales,"Transparence,Innovation,Pilotage Politiques Publiques,Gouvernance des données","Acquisition,Réutilisation",Produire,https://dataclic.fr,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022 (jmb),23/5/2022 11:22am,3231,publish
D-Lyne,Service d'aide à la production de données de qualité,"Conformité,Innovation,Gouvernance des données","Acquisition,Qualité,Réutilisation",Produire,https://opendatafrance.gitbook.io/d-lyne/,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022 (jmb),23/5/2022 11:22am,3205,publish
GéoDataMine,Service d'extraction des données d'OpenStreetMap,"Mutualisation,Innovation","Acquisition,Partage,Réutilisation",Produire,https://geodatamine.fr,Outils,OpenDataFrance,OpenDataFactory,A jour (2022),Mars 2022 (jmb),23/5/2022 11:22am,3214,publish
Opendatalocale présentation,Présentation du dispositif d'accompagnement des cllectivités ,Mutualisation,"Partage,Animation,Organisation",Animer,https://opendatafrance.gitbook.io/opendatalocale/,Guides / web,OpenDataFrance,ODL,Mettre à jour,(mb),23/5/2022 11:22am,3189,publish
Infolab,"L’infolab est un espace collaboratif dédié à la compréhension, la manipulation et l’exploration de données. C’est un espace qui accueille des publics, librement et en permanence. Il les accompagne dans l’exploration et la manipulation des données, à travers, des ateliers, des expositions, des débats, des manifestations, des formations aux données, etc.","Transformation ,Innovation","Réutilisation,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/infolab,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3220,publish
Les acteurs associatifs de l’ouverture des données,,Mutualisation,"Partage,Réutilisation,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-acteurs-associatifs-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3221,publish
Les tiers-lieux et acteurs de la médiation numérique,,"Transformation ,Mutualisation","Réutilisation,Partage,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/les-tiers-lieux-et-acteurs-de-la-mediation-numerique,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3224,publish
Cartopartie,,Transformation ,"Réutilisation,Acquisition,Animation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/cartopartie,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3230,publish
Identifier les collectivités de son périmètre d'intervention,,"Mutualisation,Transformation ","Animation,Organisation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/animations-territoriales/identifier-les-collectivites-de-son-perimetre-dintervention,Guides / web,OpenDataFrance,ODL - Animations territoriales,Animations territoriales - mettre à jour ?,(mb),23/5/2022 11:22am,3185,publish
Hackathon,,"Transformation ,Mutualisation,Innovation,Pilotage Politiques Publiques","Animation,Réutilisation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/hackathon,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3191,publish
Animation territoriale Open data,,Mutualisation,"Animation,Réutilisation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-animer/opendatalocale,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour animer,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3213,publish
Les acteurs publics territoriaux de l’ouverture des données,,"Mutualisation,Transformation ",Animation,Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-acteurs-publics-nationaux-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3212,publish
Convention d'accompagnement,,Mutualisation,"Animation,Organisation",Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pratiques/animations-territoriales/convention-daccompagnement,Guides / web,OpenDataFrance,ODL - Animations territoriales,Animations territoriales - mettre à jour ?,(vk),23/5/2022 11:22am,3233,publish
Les acteurs publics nationaux de l’ouverture des données,,"Transformation ,Mutualisation",Animation,Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-acteurs-publics-territoriaux-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:22am,3193,publish
Les acteurs économiques de l’ouverture des données,,"Mutualisation,Transformation ",Animation,Animer,https://opendatafrance.gitbook.io/odl-ressources/fiches-pedagogiques/pour-comprendre/les-acteurs-economiques-de-louverture-des-donnees,Guides / web,OpenDataFrance,ODL - Fiches pédagogiques - Pour comprendre,"Fiches pédagogiques - mettre à jour ?
",(mb),23/5/2022 11:35am,3271,publish
